00001051 ANAHUAC              042 06-04-1846 002 
00001052 ALMANDRALNA          154 06-05-1846 001 
00001053 MESSENGER            004 06-05-1846 236 
00001054 CHARLOTTE            059 05-21-1846 224 
00001055 HENRY PRATT          004 05-23-1846 235 
00001057 ROBERT PARKS         004 05-25-1846 193 
00001058 MARMION              004 05-25-1846 244 
00001059 NEW YORK PACKET      070 06-06-1846 006 
00001062 ASHBURTON            004 06-22-1846 339 
00001064 INDEPENDENCE         004 05-26-1846 236 
00001065 ENGLAND              004 05-26-1846 288 
00001066 CONSTITUTION         004 08-13-1846 186 
00001067 DORCAS               134 12-03-1846 002 
00001068 WESTMINSTER          061 12-04-1846 023 
00001069 AMERICAS             004 12-04-1846 030 
00001070 SEA                  004 12-08-1846 237 
00001074 GREENOCK             004 08-18-1846 288 
00001075 JOSEPH CUNARD        004 06-23-1846 277 
00001076 ADAM CARR            006 06-23-1846 026 
00001077 KATE                 035 05-28-1846 085 
00001078 GREAT BRITAIN        004 05-29-1846 003 
00001079 PACIFIC              004 09-19-1846 213 
00001080 BROOKSBY             006 09-21-1846 003 
00001081 JANE                 004 05-29-1846 218 
00001082 CHUSAN               004 05-30-1846 151 
00001083 MERSEY               004 05-30-1846 275 
00001084 INDEPENDENCE         004 09-22-1846 185 
00001085 BELFAST              142 07-02-1846 004 
00001087 POLAND               017 07-03-1846 001 
00001089 LIVERPOOL            004 11-16-1846 300 
00001090 MANCHESTER           004 09-25-1846 143 
00001091 GREAT WESTERN        004 11-17-1846 027 
00001092 SCOTIA               156 11-18-1846 008 
00001093 YORKSHIRE            004 11-19-1846 282 
00001094 RAPPAHANOCK          004 06-24-1846 453 
00001095 ANN STILLE           157 06-24-1846 001 
00001096 PRINCE ALBERT        061 06-25-1846 064 
00001097 WATERLOO             004 09-26-1846 205 
00001098 COLUMBIA             004 11-19-1846 356 
00001102 HAMPDEN              004 12-08-1846 259 
00001103 GREAT WESTERN        004 09-30-1846 020 
00001106 HENRY                004 11-20-1846 326 
00001108 OHIO                 004 10-01-1846 058 
00001109 NIAGARA              004 10-01-1846 200 
00001110 SHERIDAN             004 08-20-1846 134 
00001111 COLLECTOR            070 11-20-1846 002 
00001112 AURELIUS             004 11-21-1846 043 
00001113 MAYFIELD             004 06-25-1846 279 
00001114 PANTHEA              004 08-20-1846 026 
00001116 CORNELIA             004 07-06-1846 008 
00001117 CORSAIR              149 10-03-1846 002 
00001118 FIDELIA              004 10-05-1846 258 
00001120 GLIDDON              061 10-05-1846 107 
00001121 CORNELIA             004 11-23-1846 317 
00001122 HUGUENOT             004 10-05-1846 055 
00001123 ADAM CARR            006 10-06-1846 002 
00001125 PRATENCOLE           147 10-07-1846 001 
00001126 VERONICA             147 10-08-1846 001 
00001127 NEW YORK PACKET      147 10-12-1846 014 
00001129 PANAMA               004 10-12-1846 030 
00001130 RAPID                147 10-12-1846 005 
00001131 MARGARET EVANS       061 11-27-1846 005 
00001131 MARGARET EVANS       004 10-12-1846 088 
00001133 HOTTINGUER           004 10-12-1846 134 
00001135 ROBERT A PARKE       004 08-21-1846 106 
00001136 ROSCIUS              004 10-12-1846 368 
00001137 MARMION              004 08-22-1846 050 
00001138 OXFORD               004 08-22-1846 122 
00001139 MARMION              004 11-28-1846 186 
