occupation_code,occupation_desc,occupation_code_norm
INMNGR,Irmnr,INMNGR
INS,Maker Imb,INS
INSM,Manager,INSM
IPTR,U,IPTR
IRDR,Intp,IRDR
IRNR,Irnmldr,IRNR
IRON,Industry Innkeeper Inspector Institutor Instrument Instrument Instrument Insurance Insurance Interpret.Er Dresser,IRON
IRONER,....,IRONER
ISB,Builder,ISB
ISP,Inkp,ISP
IVORY,Turner,IVORY
JAP,Jntr,JAP
JCK,Jobb,JCK
JDG,Jrnw,JDG
JEWELLER,Janitor 1Japanner,JEWELLER
JI,\F\ { I 31\U,JI
JNRS,Jnr,JNRS
JOBBER,Jewelry,JOBBER
JOINER,Jockey,JOINER
JOURNEY,Joiner'S Journalist Man,JOURNEY
JRNM,Jnlst,JRNM
JWLPLH,Jwlr,JWLPLH
KEEPER,Furnace,KEEPER
KEMK,Kpr,KEMK
KEY,Maker,KEY
KNGR,Ktf,KNGR
KNIFE,Kettleful Grinder,KNIFE
KNITTER,Frame Work,KNITTER
KNL,Kest,KNL
KROS,Estate,KROS
LABORER,Laborer (Ital. Operaia') 1 Wife,LABORER
LABRW,Labr,LABRW
LACE,Labrador Dealer/Factor,LACE
LAD,(Launderess),LAD
LADY,Lady Maid,LADY
LAMP,Maker,LAMP
LAND,Landlord Owner,LAND
LAST,Maker·,LAST
LAW,Laundress/Washwoman Man 'Laundry Student,LAW
LCDLR,Labrd,LCDLR
LCTR,Iptrl ... (Fruit Frd ·· Dealer),LCTR
LDLAR,Ldpr,LDLAR
LDMNR,Lwyr,LDMNR
LDY,Lcmkr,LDY
LEAD,Lawyer Miner,LEAD
LEATHER,Maj\Tufacturer,LEATHER
LECT,Lct,LECT
LECTOR,..;:,LECTOR
LEECH,Lecturer Importer,LEECH
LETTER,Lemonade Cutter,LETTER
LGTM,Lt,LGTM
LIGHTER,.... Lieutenant Man,LIGHTER
LIME,Burner,LIME
LINEN,Manufacturer,LINEN
LIQUOR,Liquorist Maker,LIQUOR
LITERARY,Man,LITERARY
LITGR,Ltrmn,LITGR
LKSH,Litgrp,LKSH
LLD,Ldagnt,LLD
LMBRM,"Q,A",LMBRM
LMKR,Lmf,LMKR
LMNFTR,Lrfh,LMNFTR
LNBL,Lmb,LNBL
LNG,Lnmftr,LNG
LNM,Liptr,LNM
LOCK,Smith,LOCK
LOOM,Loomfixer Maker,LOOM
LPMKR,Ldma,LPMKR
LQRDLR,Lqr,LQRDLR
LR,Ctr,LR
LRFH,Ledlr,LRFH
LSTDNT,Lad,LSTDNT
LSTM,Ldowr,LSTM
LUMBER,Longshoreman Man,LUMBER
LYRIC,(Singer) Sing,LYRIC
MA,Cpt,MA
MACARONI,M.P.,MACARONI
MACH,Machry,MACH
MACHINE,Machine,MACHINE
MACHMKR,Mmdl,MACHMKR
MAID,Machinery Machinist,MAID
MAKER,"Clerk Merchant Clock Broker, Clock",MAKER
MAN,Caulker Cellar,MAN
MANAGER,Maltster,MANAGER
MANTEAU,Mangler Manservant,MANTEAU
MANTLE,Maker,MANTLE
MAR,Mrns (Wife) W (Husband) H,MAR
MARBLE,Manufacturer Manufacturer Manufacturing Cutter,MARBLE
MARINE,Marchese/Marchesa Engineer,MARINE
MARINER,;:,MARINER
MARRIED,Marines,MARRIED
MASON,... Maker,MASON
MASTER,Master Ship Of,MASTER
MCHT,Medst,MCHT
MCHTRET,Ret,MCHTRET
MDW,·Metlgt,MDW
MEALER,Matron,MEALER
MEATMAN,Measurer,MEATMAN
MECH,Mtm,MECH
MED,Mdn,MED
MEDIAN,Mechanic,MEDIAN
MEN,..... Cattle,MEN
METAL,"Merchant ·Merchant, Rei'Ired Carrier",METAL
MGLR,Mgr,MGLR
MIDWIFE,Metallurgist,MIDWIFE
MILKMAN,Milkmaid,MILKMAN
MILL,Milliner Operator,MILL
MILLER,Fuller Fulling,MILLER
MINE,Engineer,MINE
MINING,"Ij ~ I, """,MINING
MINISTER,Clergyman/Church,MINISTER
MJR,Svnt,MJR
MKMN,Mkmd,MKMN
MLCR,Mchtret,MLCR
MLDR,Cshr,MLDR
MLHND,Mlr,MLHND
MLOPR,Mlnr,MLOPR
MLSTR,Mkr,MLSTR
MLW,Mlov,MLW
MMCHT,Mctr,MMCHT
MNFTR,Mntl,MNFTR
MNLG,Mnr,MNLG
MNRE,Mlwr,MNRE
MNSTR,Mag,MNSTR
MNTR,Ctrmn,MNTR
MO,Mon,MO
MOD,Msny,MOD
MODELER,Missionary,MODELER
MONGER,Fish,MONGER
MOTHER,Monk,MOTHER
MOUNTAIN,Moulder/Molder,MOUNTAIN
MRHS,Mpol,MRHS
MRNR,Meng,MRNR
MSR,Mr,MSR
MST,Msmk,MST
MTMKR,Msvrq,MTMKR
MULE,Mounter Driver,MULE
MUS,.~ Tchr,MUS
MUSDLR,Musdir,MUSDLR
MUSIC,Teacher,MUSIC
MUSICAL,Musical,MUSICAL
NAIL,I Smith,NAIL
NAILER,Nailer Maker,NAILER
NAVAL,Naval.Commander Officer,NAVAL
NAVY,Navigator,NAVY
NAY,Nvyst,NAY
NBL,(Nobility),NBL
NCO,Nbl,NCO
NDM,Ner,NDM
NEARER,Navvy (Fr. 'Terrassier'),NEARER
